run_id,learning_rate,hidden_dim,l2_lambda,batch_size,activation,epochs_trained,best_val_accuracy,final_val_accuracy,final_val_loss,final_train_loss
0,0.01,128,0.0,32,relu,20,0.8,0.8,0.6069483288036392,0.6083815288822754
1,0.01,128,0.0,32,sigmoid,20,0.6323333333333333,0.6323333333333333,2.109337142930211,2.1149773418025957
2,0.01,128,0.0001,32,relu,20,0.7903333333333333,0.7903333333333333,0.6523882675983396,0.6593152515732356
3,0.01,128,0.0001,32,sigmoid,20,0.5338333333333334,0.5216666666666666,2.086812945374882,2.0946626814418114
4,0.01,256,0.0,32,relu,20,0.801,0.801,0.6021456997945246,0.6039976419330775
5,0.01,256,0.0,32,sigmoid,20,0.5535,0.5523333333333333,2.008369320724713,2.0172149170889386
6,0.01,256,0.0001,32,relu,20,0.7991666666666667,0.7991666666666667,0.6467270047447701,0.647643331006159
7,0.01,256,0.0001,32,sigmoid,20,0.5458333333333333,0.5401666666666667,2.063633758863651,2.0713292353909933
8,0.02,128,0.0,32,relu,20,0.8188333333333333,0.8188333333333333,0.524768059173646,0.5241642148824811
9,0.02,128,0.0,32,sigmoid,20,0.5761666666666667,0.569,1.6333056340919165,1.6508970262317806
10,0.02,128,0.0001,32,relu,20,0.8196666666666667,0.8196666666666667,0.5471855185029406,0.5452096504147687
11,0.02,128,0.0001,32,sigmoid,20,0.5788333333333333,0.5696666666666667,1.7489784467590457,1.764669214123201
12,0.02,256,0.0,32,relu,20,0.8255,0.8255,0.5078556912239247,0.5029133081222845
13,0.02,256,0.0,32,sigmoid,20,0.6063333333333333,0.6018333333333333,1.5081558632937095,1.5256766742587817
14,0.02,256,0.0001,32,relu,20,0.8216666666666667,0.8216666666666667,0.5482696605958092,0.5464156570443158
15,0.02,256,0.0001,32,sigmoid,20,0.6013333333333334,0.5878333333333333,1.579283729025062,1.5959216639172562
16,0.05,128,0.0,32,relu,20,0.8416666666666667,0.8415,0.44693857663170466,0.43200961389888365
17,0.05,128,0.0,32,sigmoid,20,0.6735,0.6735,1.0355737299842904,1.0456991407708083
18,0.05,128,0.0001,32,relu,20,0.8403333333333334,0.8403333333333334,0.4665649957029748,0.4599541286026475
19,0.05,128,0.0001,32,sigmoid,20,0.6696666666666666,0.6661666666666667,1.1084265695006075,1.1191146147459883
20,0.05,256,0.0,32,relu,20,0.8455,0.8433333333333334,0.44697970679649407,0.42022008540778694
21,0.05,256,0.0,32,sigmoid,20,0.7123333333333334,0.7123333333333334,0.9202808978719189,0.9277901298437793
22,0.05,256,0.0001,32,relu,20,0.8415,0.8415,0.4766077186902849,0.466098615128818
23,0.05,256,0.0001,32,sigmoid,20,0.6865,0.6861666666666667,1.0420523949941702,1.0496084578425924
